"identificador","titulo","autores","ano","veiculo","doi_ou_url","fonte_recuperacao","estrategia","decisao_fonte","classificacao_publicada","setor","camadas","arquivo_pdf","hash_pdf","status_evidencia","observacao_reconciliacao"
"CAND-000581__f081f330","Leveraging large language models in patient-reported outcome measure development: practical opportunities, cautions, and a human-in-the-loop roadmap","Constance Mara; Tiffany Rybak","2026","Journal of Patient-Reported Outcomes","10.1186/s41687-026-01112-2","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","healthcare","human oversight layer | risk identification and mitigation | workflow boundary controls","CAND-000581__f081f330.pdf","f3c65991caf9de58e3d6ddc3e92f767d6f93ec86262eb5a46263d4985db18e47","llm_evidence_not_found",""
"CAND-000611__2ba3fc74","Human-Centered Evaluation of an LLM-Based Process Modeling Copilot: A Mixed-Methods Study with Domain Experts","Chantale Lauer; Peter Pfeiffer; Nijat Mehdiyev","2026","Proceedings of conference on Human Factors in Computing Systems (CHI26)","unclear","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","business process management; conceptual/process modeling","human perception and oversight layer | interaction layer | output quality layer","CAND-000611__2ba3fc74.pdf","f963ceb9fd93cdc0159f76b94b76b65f407e93b81c92715f7722be5024237a46","llm_evidence_not_found",""
"CAND-000615__1dea796c","Formalising Human-in-the-Loop: Computational Reductions, Failure Modes, and Legal–Moral Responsibility","Maurice Chiodo; Dennis Müller; Paul Siewert; Jean-Luc Wetherall; Zoya Yasmine; John Burden","2025","arXiv","unclear","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","AI systems and automated decision-making systems (ADMS)","ethical_moral | legal_regulatory | operational_failure_modes | technical_design","CAND-000615__1dea796c.pdf","6ae03aeaa8d4bec3de91c4e20b83dd6d7f2b5816ac5aa42da30e1f99f5445de0","verificada conforme registro",""
"CAND-000621__fd663529","From Control to Foresight: Simulation as a New Paradigm for Human–Agent Collaboration","Gaole He; Brian Y. Lim","2026","CHI 2026 Workshop on Human-Agent Collaboration, Barcelona, Spain","10.1145/nnnnnnn.nnnnnnn","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","human-computer interaction; LLM agent task domains including travel planning and code generation","agent planning and exploration layer | human supervision layer | interaction paradigm | simulation layer","CAND-000621__fd663529.pdf","ca6b807fdc659a08c1abd28288f7e44379ccb6373c6bdf0b2fb987e0d234957d","llm_evidence_not_found",""
"CAND-000635__8bca5da8","Use of large language models for providing automated feedback in medical imaging education: a systematic review","Mustafa Mohammed Al-Mashhadani, Faika Ajaz, Shaista Salman Guraya, Farah Ennab","2026","Frontiers in Medicine","10.3389/fmed.2026.1803921","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","healthcare; medical education; radiology/medical imaging","human oversight | hybrid human-AI collaboration","CAND-000635__8bca5da8.pdf","74ca6e1045f19b2461852ef02c5261cde5398dcfcbcd75304c8b05658dd6b300","llm_evidence_not_found",""
"CAND-000636__1f0a9ecd","Evaluating AI‑generated vs. human‑written reading comprehension passages: an expert SWOT analysis and comparative study for an educational large‑scale assessment","Lisa Marie Ripoll Y Schmitz; Philipp Sonnleitner","2025","Large-scale Assessments in Education","10.1186/s40536-025-00255-w","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","education","content quality evaluation | human oversight","CAND-000636__1f0a9ecd.pdf","bebfcf81f5cbc7437d232bda30ef29c9a7004b2d9cc8cfd4a3a63292dd3efd08","verificada conforme registro",""
"CAND-000645__e2b3cd66","Large Language Models in Medicine: Clinical Applications, Technical Challenges, and Ethical Considerations","Kyu-Hwan Jung","2025","Healthcare Informatics Research","10.4258/hir.2025.31.2.114","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","healthcare","application_layer | ethical_governance_layer | technical_risk_layer","CAND-000645__e2b3cd66.pdf","f0aab82a01d1758a2fde4a4c500e9570e81eee0153a59ffdc7b0d221590283b3","llm_evidence_not_found",""
"CAND-000649__2cff9428","LLMOps, AgentOps, and MLOps for Generative AI: A Comprehensive Review","Satyadhar Joshi","2025","International Journal of Computer Applications Technology and Research Volume 14–Issue 07","10.7753/IJCATR1407.1001","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","enterprise; finance mentioned among industries","debugging | deployment | lifecycle management | monitoring | optimization","CAND-000649__2cff9428.pdf","b308d91c5b64b28383d62064a8615d8f5ce36bb5934a7151a9f4247723f7060a","verificada conforme registro",""
"CAND-000652__44b9579a","AGENTOPS: ENABLING OBSERVABILITY OF LLM AGENTS","Liming Dong, Qinghua Lu, Liming Zhu","2024","arXiv preprint arXiv:2411.05285v2","unclear","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","software engineering and general LLM agent applications","analytics | lifecycle governance | logging | monitoring | tracing","CAND-000652__44b9579a.pdf","fc2a9aca1107bf4faace5cc18966f4bd85b05109793ca0cc7df6a3fcf88dadf3","llm_evidence_not_found",""
"CAND-000653__0a6778e3","Ethical perspectives on deployment of large language model agents in biomedicine: a survey","Nafiseh Ghaffar Nia; Amin Amiri; Yuan Luo; Adrienne Kline","2026","AI and Ethics","10.1007/s43681-025-00847-w","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","biomedicine; technical; societal","governance frameworks | operational deployment practices | societal impact | technical reliability","CAND-000653__0a6778e3.pdf","1c1138aa550986186fc625e5330fac20fb0a374dc6b17c0a99462be8dffa6504","llm_evidence_not_found",""
"CAND-000654__3d0d74bf","TRiSM for Agentic AI: A Review of Trust, Risk, and Security Management in LLM-based Agentic Multi-Agent Systems","Shaina Raza; Ranjan Sapkota; Manoj Karkee; Christos Emmanouilidis","2025","arXiv","unclear","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","enterprise and societal domains","explainability_and_transparency_layer | governance_framework_layer | multi_agent_coordination_layer | operational_modelops_layer | policy_and_regulatory_layer | risk_and_security_layer","CAND-000654__3d0d74bf.pdf","1466388379459ca496d8e6a3037a79afa90d7aee65ca797bc3c796cbd0bc1667","verificada conforme registro",""
"CAND-000656__6e07d271","Why ML Models Fail to Reach Production","Otávio Luís Pinheiro Oliveira","2026","unclear","10.66104/wbexse86","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","cross-sector with illustrated cases in technology-adjacent organizations, large enterprises, and regulated financial sector","deployment | evaluation | governance | infrastructure | monitoring","CAND-000656__6e07d271.pdf","878599d9dff09ee028ac0fac62723ef9c179801f6a32a8a803cf06bcf39fe0b5","verificada conforme registro",""
"CAND-000659__dc04c247","Employee-Driven Leakage of Technical Documentation into General-Purpose LLMs: An Integrative Review","Latinović, L., Zhukovskiy, O., Mašić, O., & Živković, D.","2026","Serbian Journal of Engineering Management","10.5937/SJEM2601077L","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","engineering and documentation work / enterprise knowledge work","observability and audit | operational controls | organizational evaluation | risk identification","CAND-000659__dc04c247.pdf","1d2a08598224bc0d1cb70344e52e4dcf7326e510218fbfd2eaafef6db99c5b74","verificada conforme registro",""
"CAND-000662__dc323fee","Designing Enterprise Data Architecture for AI-First Government and Higher Education Institutions","Jayant Bhat","2024","International Journal of Emerging Research in Engineering and Technology","10.63282/3050-922X.IJERET-V5I3P111","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","government and higher education","AI/ML platform (MLOps, LLMOps) | analytical data store | application and consumption | governance and security | ingestion and integration | metadata and semantic modeling","CAND-000662__dc323fee.pdf","c25d3286dcdf0072fe3dac9631c70e926bf969ff5323aadc7653cc56e6ffb3ca","verificada conforme registro",""
"CAND-000664__e13cd767","Defining Success in Probabilistic Products: Key Performance Indicators and Lifecycle Management for Generative AI Applications in Enterprise","Vraj Bharatkumar Thakkar","2025","International Journal of Technology, Management and Humanities","10.21590/ijtmh.11.04.08","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","enterprise software","human oversight layer | lifecycle management layer | measurement layer | risk and compliance layer","CAND-000664__e13cd767.pdf","522a665c9c0bf777d2817ed016620471bda14bca6619043407565eee08fcf7bd","verificada conforme registro",""
"CAND-000665__7ebbcd22","A Privacy by Design Framework for Large Language Model-Based Applications for Children","Diana Addae; Diana Rogachova; Nafiseh Kahani; Masoud Barati; Michael Christensen; Chen Zhou","2026","unclear","unclear","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","children's digital applications; education","data collection | design guidelines for children | model training | ongoing validation | operational monitoring","CAND-000665__7ebbcd22.pdf","8878fbfb4a1312f0168852960ede710fdc79a22a7e9436470cbbac14ede1600c","llm_evidence_not_found",""
"CAND-000668__48d53ee9","Governance risks of AI reasoning in urban infrastructure through Delphi audit of human and large language model judgment","Alence Poudel; Carla Barrios; Paola De La Torre; Huy Ton; Trevor Surface; Varenya Mehta; Samanata Silwal","2026","Discover Cities","10.1007/s44327-026-00268-2","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","urban infrastructure; municipal public administration; smart cities","governance | human oversight | institutional compliance | risk assessment","CAND-000668__48d53ee9.pdf","20af485b67d580dbe8cc0864a43e07dbda88657e505a99487fc0b25ff6f43b31","verificada conforme registro",""
"CAND-000672__09be4225","Building a Safe and Transparent Workflow for Large Language Model (LLM)-Assisted Clinical Trials and Prediction Models: A Technical Report","João Frutuoso","2025","Cureus","10.7759/cureus.92571","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","healthcare","documentation_and_audit | governance_rules | human_oversight | privacy_and_security | technical_safeguards","CAND-000672__09be4225.pdf","74b2f2aea873ccb396292a64111d213edfc04648a913e028a79f1e1b49f7655e","verificada conforme registro",""
"CAND-000673__d5982e69","Large Language Models for Cybersecurity Policy Compliance and Risk Mitigation","Emmanuel Cadet; Edima David Etim; Iboro Akpan Essien; Eseoghene Daniel Erigha; Lawal Abdulmutalib Babatunde; Joshua Oluwagbenga Ajayi; Ehimah Obuse","2024","International Journal of Scientific Research in Humanities and Social Sciences","10.32628/IJSRSSH242560","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","cybersecurity; IT and operational technology environments","governance and oversight layer | monitoring and alerting layer | operational control layer | policy/regulatory layer","CAND-000673__d5982e69.pdf","06b6942104b741418e7dfe48e5679f08c4df740f2905c1a561bdae4b0bd9a4fb","llm_evidence_not_found",""
"CAND-000675__5f70aca1","Large Language Models in Healthcare Management: Implementation Evidence, Governance Architecture, and Strategic Pathways","Ran Zhang, Saibing Wang","2026","Academic Journal of Management and Social Sciences","unclear","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","healthcare management","human_oversight | monitoring_and_audit | organizational_outcomes | policy_alignment | technical_controls | workflow_design","CAND-000675__5f70aca1.pdf","b380569b1af61f0903121cc6115f0ebdb72777ed5707c30cb03e4aa43c9dcfa9","llm_evidence_not_found",""
"CAND-000678__f125a548","Electronic Governance Controls for AI-Enabled Agentic Large Language Models in Digital Government (Compliance-by-Design and Evidence-Linked Evaluation)","Almaghrabi, M. A.","2026","International Journal of Research and Studies Publishing","unclear","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","digital government / public sector","control and enforcement mechanisms | evaluation and evidence linkage | human oversight | policy and governance instruments","CAND-000678__f125a548.pdf","cc07840dcad7a9e044b4eb4549e8d199db150705f4c0a60bb9984277dbde98c6","verificada conforme registro",""
"CAND-000679__ccc86af8","The Ethical Compass of the Machine: Evaluating Large Language Models for Decision Support in Construction Project Management","Somtochukwu Azie; Yiping Meng","2024","unclear","unclear","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","construction project management","accountability | evaluation framework | oversight | risk control","CAND-000679__ccc86af8.pdf","28b8b4722d03002f536dc90c49e665036bfe5af48cdfd0877393374ab4b7899b","verificada conforme registro",""
"CAND-000681__d83504a2","Unified AI Security Posture Management Framework for Multi-Cloud Large Language Model Deployments","Vaishali Mahavratayajula","2026","International Journal of Computational and Experimental Science and Engineering (IJCESEN)","10.22399/ijcesen.5279","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","finance, healthcare, government, enterprise multi-cloud","compliance certification | deployment lifecycle | infrastructure | monitoring and incident response | security controls","CAND-000681__d83504a2.pdf","1e8cd78afe5ba86f32e7a91b67de3d4e157a333cc5844b6dcac01ab1b8253256","llm_evidence_not_found",""
"CAND-000696__6e4364a4","SHARP: Social Harm Analysis via Risk Profiles for Measuring Inequities in Large Language Models","Alok Abhishek; Tushar Bandopadhyay; Lisa Erickson","2026","arXiv preprint","unclear","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","healthcare, finance, hiring, welfare allocation, criminal justice","evaluation layer | risk measurement layer","CAND-000696__6e4364a4.pdf","1d8f869b40f949d216d25f945960cbda78359bf932a3b237ba82b3e517aa998b","llm_evidence_not_found",""
"CAND-000701__5b2c1dc7","Towards AI Accountability Infrastructure: Gaps and Opportunities in AI Audit Tooling","Victor Ojewale; Ryan Steed; Briana Vecchione; Abeba Birhane; Inioluwa Deborah Raji","2024","arXiv preprint arXiv:2402.17861","unclear","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","AI audit practitioners across internal and external auditing organizations","audit | compliance | governance | risk management","CAND-000701__5b2c1dc7.pdf","69e7dc590ef110a3480465c600344de3f9af2b220b4e745c2264598db8c29d79","llm_evidence_not_found",""
"CAND-000707__6b8a4b2b","Learning From Failure: Integrating Negative Examples when Fine-tuning Large Language Models as Agents","Renxi Wang; Haonan Li; Xudong Han; Yixuan Zhang; Timothy Baldwin","unclear","unclear","unclear","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","unclear","inference | model_fine_tuning | training_data_curation","CAND-000707__6b8a4b2b.pdf","2482e63ca6c231a3937908b80caf98ad88820e08df926bdcc9dca117158c47ee","llm_evidence_not_found",""
"CAND-000712__1c8571e0","Rethinking LLMOps for Fraud and AML: Building a Compliance-Grade LLM Serving Stack","Prathamesh Vasudeo Naik; Naresh Dintakurthi; Yue Wang","2026","arXiv","unclear","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","financial services","evaluation/quality-gate layer | policy-and-schema prompt layer | serving/runtime layer","CAND-000712__1c8571e0.pdf","02e37e6af10a41bfe6c3e6c52fd6d03f47b098a196242c05b6c54d9a6cae8a55","llm_evidence_not_found",""
"CAND-000713__bc25987d","Compliance-Scored Best-of-N Guardrail Orchestration for Multimodal Document Generation in Payments Dispute Defense","Nataraj Agaram Sundar; Tejas Morabia","2026","unclear","unclear","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","Payments/e-commerce enterprise (eBay Inc.)","candidate selection | fallback routing | generation | guardrail scoring heads | human review | telemetry/observability","CAND-000713__bc25987d.pdf","454ad16283ab75e5684433b0a3ad29839ef227b96b817cadbcf9c7220d739458","llm_evidence_not_found",""
"CAND-000718__61c79d62","Learning Efficient Guardrails for Compliance","Xiaofei Wen; Wenjie Jacky Mo; Yanan Xie; Peng Qi; Muhao Chen","2026","Proceedings of the 43rd International Conference on Machine Learning","unclear","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","unclear","agent trajectory monitoring | guardrail layer | policy alignment layer","CAND-000718__61c79d62.pdf","822508a0945ce090db2f521bc1ba73946ecb598b4d79f9ca00d57e4e94501bbe","llm_evidence_not_found",""
"CAND-000720__8730e8ec","Why LLM Safety Guardrails Collapse After Fine-tuning: A Similarity Analysis Between Alignment and Fine-tuning Datasets","Lei Hsiung; Tianyu Pang; Yung-Chen Tang; Linyue Song; Tsung-Yi Ho; Pin-Yu Chen; Yaoqing Yang","2025","arXiv","unclear","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","unclear","downstream fine-tuning | instruction fine-tuning | pre-training | safety alignment","CAND-000720__8730e8ec.pdf","26530cfc4c961fcb3bf6b7ef47158b073879414a100881bdf1a4d555317c8170","decision_evidence_conflict|llm_evidence_not_found",""
"CAND-000727__603723b4","NeMo Guardrails: A Toolkit for Controllable and Safe LLM Applications with Programmable Rails","Traian Rebedea, Razvan Dinu, Makesh Sreedhar, Christopher Parisien, Jonathan Cohen","2023","arXiv","unclear","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","unclear","dialogue_manager | input_moderation_layer | output_moderation_layer | runtime_control_layer","CAND-000727__603723b4.pdf","6a3f51197553bf4a65ec2c8499b98b3b8e11a44a1246170e1d5cb05a2ce22740","llm_evidence_not_found",""
"CAND-000730__970b2c20","Computable Gap Assessment of Artificial Intelligence Governance in Children's Centres: Evidence-Mechanism-Governance-Indicator Modelling of UNICEF's Guidance on AI and Children 3.0 Based on the Graph-GAP Framework","Wei Meng","2025","unclear","unclear","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","child-centred artificial intelligence; children's rights; education and child-related AI scenarios","evidence | governance | indicator | mechanism","CAND-000730__970b2c20.pdf","29f229614975cc07d3496a95f6fc64824c127ebddef883be8348e0b2d6c00ee4","verificada conforme registro",""
"CAND-000760__ea23b1e1","An example of governance for AI in health services from Aotearoa New Zealand","R. Whittaker, R. Dobson, C. K. Jin, R. Style, P. Jayathissa, K. Hiini, K. Ross, K. Kawamura, P. Muir, and the Waitematā AI Governance Group","2023","npj Digital Medicine","10.1038/s41746-023-00882-z","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","healthcare","clinical_governance | data_and_digital_governance | equity_and_indigenous_health_oversight | legal_review | organizational_governance | privacy_and_security","CAND-000760__ea23b1e1.pdf","c5222a5b16b1898b1c3ccc7a63fb5128970042bd283b78d713c0a63277d2eea5","llm_evidence_not_found",""
"CAND-000772__4e3349e5","Enhancing Trust in LLM-Based AI Automation Agents: New Considerations and Future Challenges","Sivan Schwartz, Avi Yaeli, Segev Shlomov","2023","AutoMate'23@IJCAI: The First International Workshop on the Future of No-Code Digital Apprentices; CEUR Workshop Proceedings","unclear","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","process automation; no-code digital apprentices; enterprise AI assistants","future_research_challenges | product_implementation_assessment | trust_components","CAND-000772__4e3349e5.pdf","d30ce308afc8247267da6512ebca44bac556559beeef10854e85b8f50be39b14","llm_evidence_not_found",""
"CAND-000789__41d61e4c","A toolbox for surfacing health equity harms and biases in large language models","Stephen R. Pfohl, Heather Cole-Lewis, Rory Sayres, Darlene Neal, Mercy Asiedu, Awa Dieng, Nenad Tomasev, Qazi Mamunur Rashid, Shekoofeh Azizi, Negar Rostamzadeh, Liam G. McCoy, Leo Anthony Celi, Yun Liu, Mike Schaekermann, Alanna Walton, Alicia Parrish, Chirag Nagpal, Preeti Singh, Akeiylah Dewitt, Philip Mansfield, Sushant Prakash, Katherine Heller, Alan Karthikesalingam, Christopher Semturs, Joelle Barral, Greg Corrado, Yossi Matias, Jamila Smith-Loud, Ivor Horn, Karan Singhal","2024","Nature Medicine","10.1038/s41591-024-03258-2","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","healthcare","dataset layer | deployment risk layer | evaluation layer | human review layer","CAND-000789__41d61e4c.pdf","b50534c684801223a826309b67245bd3eba092abb69e328bcf424a79598a1e7a","llm_evidence_not_found",""
"CAND-000799__c16dcab8","Artificial Intelligence and Decision-Making in Oncology: A Review of Ethical, Legal, and Informed Consent Challenges","Eliza-Maria Froicu, Ioana Creangă-Murariu, Vlad-Adrian Afrăsânie, Bogdan Gafton, Teodora Alexa-Stratulat, Lucian Miron, Diana Maria Pușcașu, Vladimir Poroch, Gema Bacoanu, Iulian Radu, Mihai-Vasile Marinca","2025","Current Oncology Reports","10.1007/s11912-025-01698-8","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","Healthcare (oncology)","clinical_workflow_oversight | policy_and_ethics","CAND-000799__c16dcab8.pdf","ae8e9cd752771faeba35a55cce90cbea4317754dda7c9d476101f918b34cc71a","llm_evidence_not_found",""
"CAND-000811__a9083e0f","On the Complexities of Testing for Compliance with Human Oversight Requirements in AI Regulation","Markus Langer; Veronika Lazar; Kevin Baum","2026","AISoLA 2025, LNCS 16220","10.1007/978-3-032-07132-3_11","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","AI regulation and high-risk AI systems","human_factors | organizational_process | policy_regulatory | technical_system","CAND-000811__a9083e0f.pdf","b713f4132479be0cb4a4ad923a6b5adcf4433f12ebc8b05d83df384b4784ca46","llm_evidence_not_found",""
"CAND-000815__0b2e372a","SkinGPT-4: An Interactive Dermatology Diagnostic System with Visual Large Language Model","Juexiao Zhou, Xiaonan He, Liyuan Sun, Jiannan Xu, Xiuying Chen, Yuetan Chu, Longxi Zhou, Xingyu Liao, Bin Zhang, Xin Gao","2023","unclear","unclear","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","healthcare","application layer | deployment/privacy layer","CAND-000815__0b2e372a.pdf","f2957dc35694bc819c561aa192731281f28c6299989c4f4ed4d95612eaefa27a","llm_evidence_not_found",""
"CAND-000842__2434fb53","Assessing the research landscape and clinical utility of large language models: a scoping review","Ye-Jean Park, Abhinav Pillai, Jiawen Deng, Eddie Guo, Mehul Gupta, Mike Paget, Christopher Naugler","2024","BMC Medical Informatics and Decision Making","10.1186/s12911-024-02459-6","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","healthcare","evaluation_assurance_layer | human_supervision_layer | policy_ethics_layer","CAND-000842__2434fb53.pdf","01480bbc631279b9cf64018cebc0fd7ca8df821a0d2a9054938ff4e906bf4572","llm_evidence_not_found",""
"CAND-000861__7a07e764","A Categorical Archive of ChatGPT Failures","Ali Borji","2023","Research Square","10.21203/rs.3.rs-2895792/v1","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","general cross-domain","failure_mode_catalog | model_behavior | output_quality","CAND-000861__7a07e764.pdf","9ec87145716b3e0a912ba27f8c3e71e892ee486ee02fd2fd54c9d4faadcc2f1c","llm_evidence_not_found",""
"CAND-000864__1f3ce3cc","SILO Language Models: Isolating Legal Risk in a Nonparametric Datastore","Sewon Min, Suchin Gururangan, Eric Wallace, Weijia Shi, Hannaneh Hajishirzi, Noah A. Smith, Luke Zettlemoyer","2023","unclear","unclear","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","machine learning / natural language processing","compliance_controls | inference_time_retrieval | parametric_model | training_data_curation","CAND-000864__1f3ce3cc.pdf","ba19745182092591a0bb78acbc0e764266ea617576ce6f76958ba4c2498c7027","verificada conforme registro",""
"CAND-000973__92b52521","Generative AI for Transformative Healthcare: A Comprehensive Study of Emerging Models, Applications, Case Studies and Limitations","Siva Sai; Aanchal Gaur; Revant Sai; Vinay Chamola; Mohsen Guizani; Joel J. J. P. C. Rodrigues","unclear","IEEE Access","10.1109/ACCESS.2017.DOI","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","healthcare","application layer | model layer | risk/limitation layer","CAND-000973__92b52521.pdf","068c7c2d63826c4ae68d5c459c09d42c1604f4f913105055a8fe644d9fad3c4b","verificada conforme registro",""
"CAND-000980__a7082414","Optimization of hepatological clinical guidelines interpretation by large language models: a retrieval augmented generation-based framework","Simone Kresevic, Mauro Giuffrè, Milos Ajcevic, Agostino Accardo, Lory S. Crocè, Dennis L. Shung","2024","npj Digital Medicine","10.1038/s41746-024-01091-y","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","healthcare","evaluation layer (expert review, text-similarity scores) | model layer (GPT-4 Turbo) | prompt engineering layer | retrieval/knowledge layer (guideline corpus, RAG)","CAND-000980__a7082414.pdf","8e9ed482cb8f51d1576c45648ab640422ce943db71eec46e82ba7adf79af1dc2","verificada conforme registro",""
"CAND-000985__85aeb890","The Opportunities and Risks of Large Language Models in Mental Health","Hannah R Lawrence; Renee A Schneider; Susan B Rubin; Maja J Matarić; Daniel J McDuff; Megan Jones Bell","2024","JMIR Ment Health","10.2196/59479","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","mental health / health care","deployment | development | oversight | testing","CAND-000985__85aeb890.pdf","b33609a8691b8a3197e39b37efe7ea1424aefa4f78c5e412d0ac7aa6bd554c55","verificada conforme registro",""
"CAND-001017__af7d2791","Benchmarking large language models for congenital cataract parent counseling: safety, readability, and knowledge translation of developmental and genetic information","Ligang Jiang, Yihan Zhu, Chunyan Song, Xinya Hu, Xianming Fan, Weihua Yang, Yune Zhao","2026","Frontiers in Cell and Developmental Biology","10.3389/fcell.2026.1785731","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","healthcare","application_layer | output_quality_layer","CAND-001017__af7d2791.pdf","2919b679a3553d9d284024833f65b67e8eeafa119ce235803decf4934ec78849","llm_evidence_not_found",""
"CAND-001038__3f5a3c69","Large Language Models in Portuguese for Healthcare: A Systematic Review","Andre Massahiro Shimaoka; Antonio Carlos da Silva Junior; José Marcio Duarte; Thiago Bulhões da Silva Costa; Ivan Torres Pisa; Luciano Rodrigo Lopes; Paulo Bandiera-Paiva","2025","Research Square (preprint); published version in Research on Biomedical Engineering (2026)","10.21203/rs.3.rs-6673690/v1","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","healthcare","application layer","CAND-001038__3f5a3c69.pdf","a98f7c784af64abde3cc53d37acc955221ec4f8ed55c1c89d594c13771de36a9","llm_evidence_not_found",""
"CAND-001051__39543eeb","Large language models in portuguese for healthcare: a systematic review","Andre Massahiro Shimaoka, Antonio Carlos da Silva Junior, José Marcio Duarte, Thiago Bulhões da Silva Costa, Ivan Torres Pisa, Luciano Rodrigo Lopes, Paulo Bandiera-Paiva","2026","Research on Biomedical Engineering","10.1007/s42600-026-00465-3","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","healthcare","","CAND-001051__39543eeb.pdf","04b8f394c84172902b60ad1607f97d9ada490f66d9a30ccc88b2c40d47844e8b","llm_evidence_not_found",""
"CAND-001153__1cfcd0d8","Don't blame me: How Intelligent Support Affects Moral Responsibility in Human Oversight","Cedric Faas, Richard Uth, Sarah Sterz, Markus Langer, Anna Maria Feit","2026","Proceedings of the ACM Intelligent User Interfaces","unclear","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","unclear","oversight_architecture | regulatory_compliance | user_interface_design","CAND-001153__1cfcd0d8.pdf","dc2cd5c166fdeb109e39c11a598da23ab1437921e514e6f74dec3bc45a7de5c9","llm_evidence_not_found",""
"CAND-001160__32fd8954","SARA: Leveraging LLM Agents and Jurisprudential Ontologies for Automated Legal Reasoning","Francisco C J Bonfim; Sara Pessoa Silva; Alicia S Neves; Henrique Santos; João A Monteiro Neto; Jorge L B Araujo; Rilder S Pires; Ricardo Alexandre Da Silva Costa; Vasco Furtado; Vladia Pinheiro","2024","unclear","unclear","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","judiciary","document extraction | evidence linkage | governance assessment via competence questions | knowledge retrieval | reasoning generation","CAND-001160__32fd8954.pdf","af8035bdf577f3688ff58274b5392a7c48859abb872ff1ff496c506060c78467","llm_evidence_not_found",""
